タイトル,監督,原作,脚本,総合評価,泣ける,笑える,楽しい,悲しい,ファンタジー,スペクタクル,ゴージャス,ロマンチック,不思議,パニック,不気味,恐怖,勇敢,知的,絶望的,切ない,セクシー,かわいい,かっこいい,コミカル
マチネの終わりに,西谷弘,平野啓一郎,井上由美子,3.9,16.17161716172,0.0,0.0,8.74587458746,0.0,0.0,0.0,20.13201320132,0.0,0.0,0.0,0.0,0.0,8.41584158416,0.0,24.58745874587,0.0,0.0,6.60066006601,0.0
ジョーカー,トッド・フィリップス,,トッド・フィリップス,4.06,6.98238241474,0.0,0.0,14.38500080815,0.0,0.0,0.0,0.0,0.0,0.0,13.86778729594,11.62114110231,0.0,0.0,15.17698399871,12.84952319379,0.0,0.0,0.0,0.0
IT／イット THE END “それ”が見えたら、終わり。,アンディ・ムスキエティ,スティーヴン・キング,ゲイリー・ドーベルマン,3.3,0.0,8.76747141042,0.0,0.0,5.46378653113,0.0,0.0,0.0,0.0,7.75095298602,13.0876747141,13.3418043202,8.25921219822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
閉鎖病棟―それぞれの朝―,平山秀幸,帚木蓬生,平山秀幸,3.55,20.98360655738,0.0,0.0,18.3606557377,0.0,0.0,0.0,0.0,0.0,0.0,3.93442622951,5.24590163934,0.0,0.0,10.49180327869,23.60655737705,0.0,0.0,0.0,0.0
イエスタデイ,ダニー・ボイル,,リチャード・カーティス,4.12,9.48406676783,14.87101669196,18.58877086495,0.0,10.01517450683,0.0,0.0,11.00151745068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3186646434
IT／イット “それ”が見えたら、終わり。,アンディ・ムスキエティ,スティーヴン・キング,チェイス・パーマー,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.70044709389,7.07898658718,14.64232488823,15.61102831595,11.25186289121,0.0,5.47690014903,0.0,0.0,0.0,0.0,0.0
マレフィセント2,ヨアヒム・ローニング,,リンダ・ウールヴァートン,3.8,8.23373173971,0.0,7.30411686587,0.0,18.32669322709,0.0,6.90571049137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90571049137,7.30411686587,0.0
ジェミニマン,アン・リー,,デヴィッド・ベニオフ,3.44,0.0,0.0,9.23913043478,0.0,0.0,10.05434782609,0.0,0.0,5.70652173913,0.0,0.0,0.0,16.84782608696,0.0,0.0,7.0652173913,0.0,0.0,23.36956521739,0.0
世界から希望が消えたなら。,赤羽博,,大川咲也加,2.46,21.65991902834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94331983806,0.0,0.0,0.0,14.77732793522,11.94331983806,0.0,8.90688259109,0.0,0.0,10.93117408907,0.0
空の青さを知る人よ,長井龍雪,超平和バスターズ,岡田麿里,4.01,15.06849315068,7.07762557078,9.01826484018,0.0,13.12785388128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72602739726,0.0,8.44748858447,0.0,0.0
ターミネーター：ニュー・フェイト,ティム・ミラー,,デヴィッド・ゴイヤー,3.83,8.26173165896,0.0,0.0,0.0,0.0,8.98876404494,0.0,0.0,0.0,0.0,0.0,0.0,13.2848645076,0.0,7.40251156642,7.20423000661,0.0,0.0,15.00330469266,0.0
楽園,瀬々敬久,吉田修一,瀬々敬久,3.2,8.35322195704,0.0,0.0,18.37708830549,0.0,0.0,0.0,0.0,0.0,0.0,12.88782816229,10.02386634845,0.0,0.0,19.09307875895,19.57040572792,0.0,0.0,0.0,0.0
最初の晩餐,常盤司郎,,常盤司郎,3.99,18.51851851852,0.0,0.0,7.40740740741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.40740740741,0.0,25.92592592593,0.0,7.40740740741,5.55555555556,0.0
最高の人生の見つけ方,犬童一心,,浅野妙子,3.62,19.4,14.6,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,5.8,0.0,7.8
記憶にございません！,三谷幸喜,,三谷幸喜,3.85,5.31057373163,26.97961119014,22.66477003319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1768610716,4.31484115695,19.39307728781
蜜蜂と遠雷,石川慶,恩田陸,石川慶,3.56,12.18424962853,0.0,9.65824665676,0.0,0.0,0.0,0.0,6.98365527489,0.0,0.0,0.0,0.0,0.0,14.8588410104,0.0,13.67013372957,0.0,0.0,11.58989598811,0.0
ブラック校則,菅原伸太郎,,此元和津也,4.1,17.33333333333,19.2380952381,14.09523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7619047619,0.0,0.0,0.0,0.0,0.0,10.47619047619,7.61904761905
冴えない彼女の育てかた Fine,柴田彰久,丸戸史明,丸戸史明,4.51,14.05529953917,16.12903225806,15.43778801843,0.0,0.0,0.0,0.0,7.83410138249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75576036866,0.0,17.51152073733,0.0,0.0
天気の子,新海誠,新海誠,新海誠,3.73,11.4508730989,0.0,7.83777259194,0.0,16.58485555645,0.0,0.0,7.82167860304,10.02655508168,0.0,0.0,0.0,0.0,0.0,0.0,8.41715619216,0.0,0.0,0.0,0.0
八日目の蝉,成島出,角田光代,奥寺佐渡子,3.9,28.16237767307,0.0,0.0,21.34831460674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92098586444,5.83544762595,28.85103298296,0.0,4.82058716926,0.0,0.0
億男,大友啓史,川村元気,渡部辰城,3.35,9.89505247376,7.49625187406,0.0,0.0,0.0,0.0,5.84707646177,0.0,7.34632683658,0.0,0.0,0.0,0.0,11.69415292354,0.0,17.09145427286,0.0,0.0,0.0,0.0
三度目の殺人,是枝裕和,,是枝裕和,3.51,0.0,0.0,0.0,14.28571428571,0.0,0.0,0.0,0.0,10.46798029557,0.0,14.77832512315,0.0,0.0,14.77832512315,9.48275862069,20.07389162562,0.0,0.0,0.0,0.0
コピーキャット,ジョン・アミエル,,アン・ビダーマン,3.15,0.0,0.0,0.0,4.83870967742,0.0,0.0,0.0,0.0,0.0,9.67741935484,24.1935483871,29.03225806452,9.67741935484,0.0,6.45161290323,0.0,0.0,0.0,0.0,0.0
ベイビー・ドライバー,エドガー・ライト,,エドガー・ライト,4.01,0.0,5.58412931668,13.73989713446,0.0,0.0,0.0,0.0,8.74357090375,0.0,0.0,0.0,0.0,9.25789860397,0.0,0.0,5.65760470242,0.0,0.0,18.07494489346,0.0
真実,是枝裕和,,是枝裕和,3.43,0.0,7.33944954128,8.71559633028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.76146788991,0.0,16.97247706422,0.0,9.17431192661,0.0,10.5504587156
蝉しぐれ,黒土三男,藤沢周平,黒土三男,3.43,21.9512195122,0.0,0.0,10.29810298103,0.0,0.0,0.0,10.027100271,0.0,0.0,0.0,0.0,10.56910569106,0.0,0.0,31.9783197832,0.0,0.0,7.85907859079,0.0
アトランティスのこころ,スコット・ヒックス,スティーヴン・キング,ウィリアム・ゴールドマン,3.7,13.17365269461,0.0,0.0,6.58682634731,13.77245508982,0.0,0.0,0.0,15.56886227545,0.0,0.0,0.0,0.0,0.0,0.0,19.76047904192,0.0,5.9880239521,0.0,0.0
あゝ、荒野　前篇,岸善幸,寺山修司,港岳彦,3.69,11.30434782609,7.53623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69565217391,0.0,0.0,18.26086956522,7.82608695652,0.0,13.91304347826,0.0
T-34 レジェンド・オブ・ウォー,アレクセイ・シドロフ,,アレクセイ・シドロフ,4.4,0.0,0.0,6.60377358491,0.0,0.0,17.92452830189,0.0,0.0,0.0,5.66037735849,0.0,0.0,22.16981132075,6.60377358491,0.0,0.0,0.0,0.0,19.33962264151,0.0
ときめきに死す,森田芳光,丸山健二,森田芳光,3.25,0.0,0.0,0.0,8.10810810811,0.0,0.0,0.0,0.0,16.21621621622,0.0,24.32432432432,8.10810810811,0.0,0.0,10.81081081081,0.0,5.40540540541,0.0,0.0,0.0
ナイト ミュージアム／エジプト王の秘密,ショーン・レヴィ,,デヴィッド・ギヨン,3.53,5.49019607843,17.38562091503,18.30065359477,0.0,13.85620915033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3137254902,0.0,0.0,0.0,0.0,0.0,0.0,13.20261437908
マイ・ビューティフル・デイズ,ジュリア・ハート,,ジュリア・ハート,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714285714,0.0,28.57142857143,0.0,14.28571428571
不能犯,白石晃士,宮月新,山岡潤平,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36745406824,5.90551181102,22.83464566929,15.35433070866,0.0,0.0,9.05511811024,0.0,0.0,0.0,6.95538057743,0.0
ジョン・ウィック：パラベラム,チャド・スタエルスキ,,デレク・コルスタッド,3.76,0.0,7.96221322537,7.42240215924,0.0,0.0,7.55735492578,6.20782726046,0.0,0.0,0.0,0.0,0.0,12.55060728745,0.0,0.0,0.0,0.0,0.0,20.10796221323,0.0
スター☆トゥインクルプリキュア　星のうたに想いをこめて,,東堂いづみ,,4.57,13.9689578714,0.0,11.9733924612,0.0,10.86474501109,0.0,0.0,6.65188470067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31707317073,0.0,13.52549889135,0.0,0.0
スペシャルアクターズ,上田慎一郎,,上田慎一郎,3.55,7.59075907591,19.14191419142,18.48184818482,0.0,0.0,0.0,0.0,0.0,3.9603960396,0.0,0.0,0.0,4.9504950495,0.0,0.0,0.0,0.0,0.0,0.0,15.18151815182
トイ・ストーリー4,ジョシュ・クーリー,,ステファニー・フォルソム,3.3,11.81713628522,11.01207590569,11.15583668775,8.89879240943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75330649799,0.0,7.13053479011,0.0,0.0
スマホを落としただけなのに,中田秀夫,志駕晃,大石哲也,3.16,0.0,5.03715937242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33113129645,22.04789430223,20.56151940545,0.0,0.0,7.76218001652,5.36746490504,0.0,0.0,0.0,0.0
108〜海馬五郎の復讐と冒険〜,松尾スズキ,,松尾スズキ,2.65,0.0,23.61111111111,9.72222222222,4.16666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111,19.44444444444,0.0,0.0,19.44444444444
ひとよ,白石和彌,桑原裕子,高橋泉,3.96,18.23899371069,7.54716981132,0.0,13.83647798742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.40251572327,4.40251572327,0.0,22.64150943396,0.0,0.0,0.0,0.0
劇場版 おっさんずラブ 〜LOVE or DEAD〜,瑠東東一郎,,徳尾浩司,2.8,12.3595505618,17.36968134095,13.64892245349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74930926506,0.0,9.41241480936,0.0,11.3833118438
ドリームキャッチャー,ローレンス・カスダン,スティーヴン・キング,ウィリアム・ゴールドマン,2.85,0.0,7.9107505071,0.0,0.0,6.49087221095,0.0,0.0,0.0,11.76470588235,10.75050709939,18.05273833671,12.37322515213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
エージェント：ライアン,ケネス・ブラナー,,アダム・コザッド,3.14,0.0,0.0,6.06694560669,0.0,0.0,8.36820083682,0.0,0.0,0.0,6.69456066946,0.0,0.0,22.59414225941,13.80753138075,0.0,0.0,0.0,0.0,19.87447698745,0.0
彼女がその名を知らない鳥たち,白石和彌,沼田まほかる,浅野妙子,4.01,14.69613259669,0.0,0.0,15.58011049724,0.0,0.0,0.0,0.0,0.0,0.0,8.61878453039,0.0,0.0,0.0,10.38674033149,19.66850828729,7.40331491713,0.0,0.0,0.0
フッド：ザ・ビギニング,オットー・バサースト,,ベン・チャンドラー,3.59,0.0,0.0,9.14634146341,0.0,6.70731707317,13.41463414634,3.0487804878,0.0,0.0,0.0,0.0,0.0,20.12195121951,0.0,0.0,0.0,0.0,0.0,19.51219512195,0.0
ホテル・ムンバイ,アンソニー・マラス,,ジョン・コリー,4.44,8.83919062833,0.0,0.0,11.07561235357,0.0,0.0,0.0,0.0,0.0,14.05750798722,0.0,18.42385516507,13.52502662407,0.0,15.01597444089,0.0,0.0,0.0,0.0,0.0
ボーダー,ジョン・アヴネット,,ラッセル・ジェウィルス,3.15,0.0,0.0,0.0,8.58208955224,0.0,0.0,7.08955223881,0.0,0.0,0.0,0.0,0.0,12.68656716418,0.0,6.71641791045,15.29850746269,0.0,0.0,20.5223880597,0.0
クロール ―凶暴領域―,アレクサンドル・アジャ,,マイケル・ラスムッセン,3.56,0.0,0.0,0.0,0.0,0.0,5.48780487805,0.0,0.0,0.0,18.90243902439,8.23170731707,19.51219512195,14.93902439024,0.0,13.71951219512,0.0,0.0,0.0,0.0,0.0
カメラを止めるな！,上田慎一郎,,上田慎一郎,4.06,0.0,23.02370086854,17.63580156043,0.0,0.0,0.0,0.0,0.0,0.0,8.03768585308,6.4478139261,6.31532459885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.50022081555
ボーダー,トニー・リチャードソン,,デリック・ウォッシュバーン,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ザ・ウォーカー,アレン・ヒューズ,,ゲイリー・ウィッタ,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.77777777778,0.0,16.66666666667,8.54700854701,12.22222222222,6.75213675214,0.0,0.0,14.70085470085,0.0
若草物語,ジリアン・アームストロング,ルイザ・メイ・オルコット,ロビン・スウィコード,3.58,10.84337349398,0.0,14.4578313253,8.43373493976,0.0,0.0,0.0,12.04819277108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.84337349398,0.0,15.66265060241,0.0,0.0
ターミネーター2,ジェームズ・キャメロン,,ジェームズ・キャメロン,4.55,10.34482758621,0.0,0.0,0.0,0.0,5.99905526689,0.0,0.0,0.0,0.0,0.0,8.17194142655,12.09258384506,0.0,0.0,7.36891828059,0.0,0.0,15.25743977326,0.0
誘拐,大河原孝夫,,森下直,3.64,9.09090909091,0.0,0.0,15.58441558442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.38961038961,11.68831168831,0.0,15.58441558442,0.0,0.0,10.38961038961,0.0
パーフェクト ワールド,クリント・イーストウッド,,ジョン・リー・ハンコック,4.15,21.5628090999,0.0,0.0,14.73788328388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84668644906,0.0,0.0,21.26607319486,0.0,6.42927794263,9.59446092977,0.0
HiGH&LOW THE WORST,久保茂昭,,高橋ヒロシ,3.83,10.74561403509,12.5,16.88596491228,0.0,0.0,0.0,4.82456140351,0.0,0.0,0.0,0.0,0.0,12.28070175439,0.0,0.0,0.0,0.0,0.0,20.61403508772,0.0
名探偵ピカチュウ,ロブ・レターマン,,ダン・ヘルナンデス,3.88,0.0,12.36943375481,16.71247938428,0.0,12.20450797141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15722924684,0.0,0.0,0.0,0.0,18.69158878505,0.0,9.12589334799
バードマン　あるいは（無知がもたらす予期せぬ奇跡）,アレハンドロ・G・イニャリトゥ,,アレハンドロ・G・イニャリトゥ,3.36,0.0,10.98081023454,0.0,0.0,7.99573560768,0.0,0.0,0.0,12.89978678038,0.0,0.0,0.0,0.0,7.56929637527,0.0,11.30063965885,0.0,0.0,0.0,9.43496801706
CLIMAX クライマックス,ギャスパー・ノエ,,ギャスパー・ノエ,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.51351351351,10.81081081081,18.91891891892,0.0,0.0,18.91891891892,0.0,13.51351351351,0.0,10.81081081081,0.0
不実な女と官能詩人,ルー・ジュネ,,ルー・ジュネ,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28571428571,0.0,0.0,0.0,0.0,42.85714285714,14.28571428571,0.0,14.28571428571
ボーダー 二つの世界,アリ・アッバシ,ヨン・アイヴィデ・リンドクヴィスト,アリ・アッバシ,3.61,0.0,0.0,0.0,9.16666666667,13.33333333333,0.0,0.0,0.0,10.0,0.0,18.33333333333,11.66666666667,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
50回目のファーストキス,福田雄一,,福田雄一,3.76,12.30388109001,18.57968620974,14.36829066887,0.0,0.0,0.0,0.0,11.56069364162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.66143682907,0.0,0.0,0.0,10.73492981007
ダークナイト,クリストファー・ノーラン,,ジョナサン・ノーラン,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94410265425,11.51344700299,9.39532431007,0.0,8.9822464405,7.86605730357,0.0,0.0,12.11109158024,0.0
マレフィセント,ロバート・ストロンバーグ,,リンダ・ウールヴァートン,3.5,7.33944954128,0.0,6.0338743825,0.0,21.63020465773,0.0,0.0,0.0,5.71630204658,0.0,0.0,0.0,0.0,0.0,0.0,9.35074100212,0.0,7.5511644319,0.0,0.0
二ツ星の料理人,ジョン・ウェルズ,,スティーヴン・ナイト,3.46,0.0,0.0,14.07766990291,0.0,0.0,0.0,8.73786407767,5.33980582524,0.0,0.0,0.0,0.0,0.0,6.31067961165,0.0,9.22330097087,0.0,0.0,17.47572815534,0.0
HELLO WORLD,伊藤智彦,,野崎まど,3.52,8.11380400421,0.0,0.0,0.0,13.80400421496,7.90305584826,0.0,8.53530031612,8.95679662803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53530031612,0.0,0.0
タクシードライバー,マーティン・スコセッシ,,ポール・シュレイダー,3.99,0.0,0.0,0.0,7.22513089005,0.0,0.0,0.0,0.0,0.0,0.0,14.97382198953,10.05235602094,0.0,0.0,13.29842931937,14.03141361257,0.0,0.0,11.62303664921,0.0
最高の人生の見つけ方,ロブ・ライナー,,ジャスティン・ザッカム,4.03,16.91529709229,14.71554993679,13.4007585335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.98482932996,0.0,0.0,5.96713021492,7.71175726928
NO SMOKING,佐渡岳利,,,4.15,0.0,14.28571428571,28.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28571428571,0.0,0.0,0.0,0.0,28.57142857143,0.0
人生をしまう時間（とき）,下村幸子,,,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ぼくは明日、昨日のきみとデートする,三木孝浩,七月隆文,吉田智子,4.05,21.38386648122,0.0,0.0,10.04867872045,11.47426981919,0.0,0.0,12.20445062587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.02781641168,0.0,9.38803894298,0.0,0.0
ペイ・ザ・ゴースト　ハロウィンの生贄,ウーリー・エデル,ティム・レボン,ダン・ケイ,3.06,0.0,0.0,0.0,7.14285714286,0.0,0.0,0.0,0.0,10.71428571429,0.0,19.04761904762,13.09523809524,9.52380952381,0.0,10.71428571429,0.0,0.0,0.0,0.0,0.0
死刑台のエレベーター,ルイ・マル,ノエル・カレフ,ロジェ・ニミエ,3.78,0.0,0.0,0.0,9.94475138122,0.0,0.0,0.0,11.04972375691,0.0,0.0,0.0,0.0,0.0,9.94475138122,12.1546961326,13.81215469613,0.0,0.0,12.1546961326,0.0
怒り,李相日,吉田修一,李相日,4.0,14.55085374907,0.0,0.0,17.66889383816,0.0,0.0,0.0,0.0,0.0,0.0,11.25958921059,11.35857461024,0.0,0.0,13.56099975254,19.27740658253,0.0,0.0,0.0,0.0
IT／イット,トミー・リー・ウォーレス,スティーヴン・キング,ローレンス・D・コーエン,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29370629371,6.64335664336,19.93006993007,19.93006993007,10.13986013986,0.0,6.29370629371,0.0,0.0,0.0,0.0,0.0
キング,デヴィッド・ミショッド,,デヴィッド・ミショッド,4.23,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
バレット,ウォルター・ヒル,マッツ,アレサンドロ・キャモン,3.23,0.0,5.48523206751,4.64135021097,0.0,0.0,5.48523206751,0.0,0.0,0.0,0.0,0.0,0.0,20.25316455696,0.0,0.0,0.0,8.86075949367,0.0,24.05063291139,0.0
ショーシャンクの空に,フランク・ダラボン,スティーヴン・キング,フランク・ダラボン,4.53,17.21719457014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.95475113122,15.04524886878,7.73755656109,10.15837104072,0.0,0.0,9.3665158371,0.0
夜明けの街で,若松節朗,東野圭吾,川崎いづみ,2.58,0.0,0.0,0.0,8.82352941176,0.0,0.0,0.0,10.29411764706,0.0,0.0,0.0,12.5,0.0,0.0,0.0,18.75,8.45588235294,7.72058823529,0.0,0.0
