タイトル,監督,原作,脚本,総合評価,泣ける,笑える,楽しい,悲しい,ファンタジー,スペクタクル,ゴージャス,ロマンチック,不思議,パニック,不気味,恐怖,勇敢,知的,絶望的,切ない,セクシー,かわいい,かっこいい,コミカル
グリーンブック,ピーター・ファレリー,,ニック・ヴァレロンガ,4.48,13.42791158034,15.0775321676,12.27317716925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.87495875949,8.51204223029,0.0,10.75552622897,0.0,0.0,0.0,0.0
アメリカン・アサシン,マイケル・クエスタ,ヴィンス・フリン,スティーヴン・シフ,3.49,0.0,0.0,0.0,0.0,0.0,9.21052631579,0.0,0.0,0.0,9.21052631579,0.0,7.23684210526,21.05263157895,0.0,7.23684210526,0.0,0.0,0.0,17.10526315789,0.0
スノーホワイト／氷の王国,セドリック・ニコラス＝トロイアン,,エヴァン・スピリオトポウロス,3.15,0.0,0.0,0.0,0.0,18.91891891892,0.0,8.31600831601,7.27650727651,0.0,0.0,0.0,0.0,7.69230769231,0.0,0.0,6.44490644491,0.0,0.0,7.69230769231,0.0
永遠の門　ゴッホの見た未来,ジュリアン・シュナーベル,,ジャン＝クロード・カリエール,3.43,5.55555555556,0.0,0.0,8.33333333333,0.0,5.55555555556,0.0,0.0,5.55555555556,0.0,0.0,0.0,0.0,25.0,0.0,33.33333333333,0.0,0.0,0.0,0.0
インビクタス／負けざる者たち,クリント・イーストウッド,ジョン・カーリン,アンソニー・ペッカム,4.13,20.49924357035,0.0,5.14372163389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75642965204,13.27534039334,0.0,4.50075642965,0.0,0.0,19.7049924357,0.0
どすこい！すけひら,宮脇亮,たむら純子,鹿目けい子,4.08,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
ワンダー 君は太陽,スティーヴン・チョボスキー,R・J・パラシオ,スティーヴン・チョボスキー,4.38,22.46998284734,10.46312178388,12.17838765009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.54888507719,0.0,0.0,10.20583190395,0.0,12.09262435678,0.0,0.0
ナイト ミュージアム,ショーン・レヴィ,ミラン・トレンク,ロバート・ベン・ガラント,3.8,0.0,20.28949338657,20.73870726229,0.0,14.82405789868,0.0,0.0,0.0,7.16246568505,0.0,0.0,0.0,4.49213875717,0.0,0.0,0.0,0.0,0.0,0.0,13.60119790367
ガリーボーイ,ゾーヤー・アクタル,,ゾーヤー・アクタル,3.97,7.69230769231,0.0,7.69230769231,0.0,0.0,0.0,0.0,9.61538461538,0.0,0.0,0.0,0.0,13.46153846154,0.0,0.0,7.69230769231,0.0,0.0,17.30769230769,0.0
プラダを着た悪魔,デヴィッド・フランケル,ローレン・ワイズバーガー,アライン・ブロッシュ・マッケンナ,4.1,0.0,7.392701834,16.39251276234,0.0,0.0,0.0,17.26224238987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74985819626,16.50595575723,11.9304216298,0.0
冷たい熱帯魚,園子温,,園子温,3.5,0.0,7.202680067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.70016750419,17.9229480737,18.70463428252,0.0,0.0,17.42043551089,0.0,6.70016750419,0.0,0.0,0.0
翔んで埼玉,武内英樹,魔夜峰央,徳永友一,4.17,0.0,22.31311706629,17.48942172073,0.0,7.64456981664,0.0,8.29337094499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16220028209,14.2736248237
シャイニング,スタンリー・キューブリック,スティーヴン・キング,スタンリー・キューブリック,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8642384106,11.4238410596,21.6059602649,25.41390728477,0.0,3.47682119205,11.17549668874,0.0,0.0,0.0,0.0,0.0
ボヘミアン・ラプソディ,ブライアン・シンガー,,アンソニー・マクカーテン,4.53,19.77473065622,0.0,10.11753183154,5.29872673849,0.0,0.0,7.94319294809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.20176297747,0.0,0.0,19.13809990206,0.0
紙の月,吉田大八,角田光代,早船歌江子,4.0,0.0,0.0,0.0,12.80310378274,0.0,0.0,0.0,0.0,0.0,0.0,5.52861299709,0.0,0.0,5.62560620757,14.45198836081,22.98739088264,9.0203685742,0.0,0.0,0.0
愛がなんだ,今泉力哉,角田光代,今泉力哉,3.46,7.38916256158,8.37438423645,7.88177339901,7.38916256158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.66009852217,0.0,13.79310344828,0.0,0.0
アラジン,ガイ・リッチー,,ジョン・オーガスト,4.31,0.0,10.62992125984,14.22244094488,0.0,13.4186351706,0.0,8.34973753281,10.33464566929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4311023622
かぐや様は告らせたい 〜天才たちの恋愛頭脳戦〜,河合勇人,赤坂アカ,徳永友一,2.97,0.0,20.10101010101,15.65656565657,0.0,0.0,0.0,0.0,5.15151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.76767676768,9.19191919192,12.52525252525
イニシエーション・ラブ,堤幸彦,乾くるみ,井上テテ,3.4,0.0,12.94569391114,15.35929786067,0.0,0.0,0.0,0.0,0.0,8.39275918815,0.0,0.0,0.0,0.0,0.0,0.0,8.50246845858,0.0,13.98793198025,0.0,10.09325287987
グレタ GRETA,ニール・ジョーダン,,レイ・ライト,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33333333333,29.16666666667,29.16666666667,0.0,0.0,8.33333333333,4.16666666667,0.0,4.16666666667,0.0,0.0
そこのみにて光輝く,呉美保,佐藤泰志,高田亮,4.02,12.04013377926,0.0,0.0,19.50947603122,0.0,0.0,0.0,5.01672240803,0.0,0.0,0.0,0.0,0.0,0.0,15.83054626533,25.08361204013,6.80044593088,0.0,0.0,0.0
キング・オブ・コメディ,マーティン・スコセッシ,,ポール・D・ジマーマン,3.96,0.0,14.77272727273,9.09090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.61363636364,9.65909090909,0.0,0.0,0.0,6.81818181818,0.0,0.0,0.0,14.77272727273
きっと、うまくいく,ラージクマール・ヒラニ,,ラージクマール・ヒラニ,4.31,14.53526697429,16.84245220831,16.94133157548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47132498352,5.80092287409,0.0,0.0,0.0,0.0,0.0,11.79960448253
ミスミソウ,内藤瑛亮,押切蓮介,唯野未歩子,3.52,6.40569395018,0.0,0.0,12.09964412811,0.0,0.0,0.0,0.0,0.0,0.0,13.16725978648,15.3024911032,0.0,0.0,16.37010676157,11.03202846975,0.0,0.0,0.0,0.0
喝 風太郎,柴田啓佑,本宮ひろ志,守口悠介,2.85,0.0,21.42857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28571428571,14.28571428571,7.14285714286,0.0,0.0,0.0,7.14285714286,21.42857142857
ミスター・ガラス,M・ナイト・シャマラン,,M・ナイト・シャマラン,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.32075471698,0.0,13.20754716981,6.2893081761,0.0,7.07547169811,0.0,11.32075471698,0.0,0.0,6.1320754717,0.0
銀河英雄伝説　Die Neue These　星乱　第二章,多田俊介,田中芳樹,,4.39,12.77777777778,0.0,0.0,8.88888888889,0.0,13.88888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.22222222222,0.0,13.33333333333,0.0,0.0,16.66666666667,0.0
君の膵臓をたべたい,月川翔,住野よる,吉田智子,4.03,25.09167103195,0.0,3.45730749083,12.80775275013,0.0,0.0,0.0,7.56940806705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.32006286014,0.0,13.64588789942,0.0,0.0
人間失格　太宰治と3人の女たち,蜷川実花,,早船歌江子,3.07,0.0,0.0,0.0,0.0,0.0,0.0,6.67903525046,9.64749536178,0.0,0.0,0.0,0.0,0.0,5.93692022263,7.79220779221,10.0185528757,14.28571428571,0.0,0.0,0.0
海よりもまだ深く,是枝裕和,,是枝裕和,3.85,13.75515818432,20.08253094911,7.70288858322,5.22696011004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.99724896836,0.0,0.0,0.0,12.1045392022
明日に向って撃て！,ジョージ・ロイ・ヒル,,ウィリアム・ゴールドマン,4.23,0.0,8.36653386454,11.42098273572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.35856573705,0.0,0.0,11.55378486056,0.0,0.0,19.1235059761,7.0385126162
荒野の処刑,ルチオ・フルチ,,エンニオ・デ・コンチーニ,2.38,0.0,0.0,0.0,14.28571428571,0.0,0.0,0.0,0.0,0.0,0.0,14.28571428571,28.57142857143,0.0,0.0,14.28571428571,0.0,14.28571428571,0.0,0.0,0.0
ワンス・アポン・ア・タイム・イン・ハリウッド,クエンティン・タランティーノ,,クエンティン・タランティーノ,3.73,0.0,12.23948465328,10.42061386889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98711633194,0.0,0.0,0.0,0.0,5.34293292914,0.0,0.0,12.99734748011,7.46494884426
ブロークンシティ,アレン・ヒューズ,,ブライアン・タッカー,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.43373493976,6.02409638554,18.07228915663,14.4578313253,0.0,9.63855421687,0.0,0.0,14.4578313253,0.0
グレイテスト・ショーマン,マイケル・グレイシー,,ジェニー・ビックス,4.28,11.7672168469,0.0,18.96698918611,0.0,6.16107000569,0.0,12.67785998862,9.44792259533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.26522481503,0.0
タリーと私の秘密の時間,ジェイソン・ライトマン,,ディアブロ・コディ,3.67,10.79545454545,0.0,0.0,7.38636363636,9.09090909091,0.0,0.0,0.0,10.22727272727,0.0,0.0,0.0,0.0,5.68181818182,0.0,17.04545454545,0.0,0.0,0.0,0.0
こんな夜更けにバナナかよ　愛しき実話,前田哲,渡辺一史,橋本裕志,3.94,17.60435571688,18.96551724138,13.52087114338,4.9001814882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.79673321234,0.0,0.0,0.0,11.52450090744
ロボット2.0,シャンカール,,シャンカール,3.37,0.0,13.51351351351,14.86486486486,0.0,0.0,8.10810810811,0.0,0.0,0.0,6.75675675676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.40540540541,12.16216216216
見えない目撃者,森淳一,,藤井清美,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.87573964497,15.08875739645,18.9349112426,13.21499013807,0.0,8.38264299803,0.0,0.0,0.0,6.31163708087,0.0
羊の木,吉田大八,山上たつひこ,香川まさひと,3.32,0.0,0.0,0.0,5.47309833024,0.0,0.0,0.0,0.0,10.48237476809,0.0,25.60296846011,15.95547309833,0.0,0.0,5.47309833024,11.22448979592,0.0,0.0,0.0,0.0
万引き家族,是枝裕和,,是枝裕和,4.08,14.30408228865,4.59659273545,0.0,16.32915461266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.16104146577,24.59016393443,0.0,4.82160077146,0.0,0.0
ジョン・ウィック,チャド・スタエルスキ,,デレク・コルスタッド,3.6,0.0,0.0,6.06060606061,4.9959049959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.53071253071,0.0,5.07780507781,8.27190827191,0.0,0.0,26.69942669943,0.0
何者,三浦大輔,朝井リョウ,三浦大輔,2.88,0.0,0.0,0.0,8.58983536149,0.0,0.0,0.0,0.0,0.0,0.0,12.16893342878,10.0214745884,0.0,11.02362204724,8.37508947745,20.1861130995,0.0,0.0,0.0,0.0
ピーチガール,神徳幸治,上田美和,山岡潤平,3.1,8.85608856089,15.86715867159,14.57564575646,0.0,0.0,0.0,0.0,7.38007380074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.34317343173,0.0,11.25461254613
ロイヤルコーギー レックスの大冒険,ヴァンサン・ケステロー,,ロブ・スパークリング,3.07,0.0,0.0,14.28571428571,0.0,14.28571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857143,0.0,28.57142857143
恋は雨上がりのように,永井聡,眉月じゅん,坂口理子,4.22,10.13412816692,15.79731743666,13.85991058122,0.0,0.0,0.0,0.0,8.34575260805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.35022354694,0.0,14.40635866865,0.0,0.0
アップグレード,リー・ワネル,,リー・ワネル,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.40740740741,11.85185185185,10.37037037037,0.0,8.14814814815,9.62962962963,0.0,0.0,0.0,9.62962962963,0.0
ターミネーター：新起動／ジェニシス,アラン・テイラー,,レータ・カログリディス,3.3,0.0,8.62396956246,10.74825618263,0.0,0.0,11.28725428028,0.0,0.0,0.0,0.0,0.0,0.0,11.38237159163,0.0,0.0,0.0,0.0,0.0,14.2041851617,5.04121750159
8番目の男,ホン・スンワン,,ホン・スンワン,3.8,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
MW−ムウ−,岩本仁志,手塚治虫,大石哲也,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1919258769,12.11118464593,0.0,7.27994705493,11.58173395103,9.46393117141,0.0,0.0,14.95698213104,0.0
トスカーナの幸せレシピ,フランチェスコ・ファラスキ,,,4.27,0.0,11.11111111111,11.11111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111,0.0,0.0,16.66666666667,0.0,11.11111111111,11.11111111111,0.0
七つの会議,福澤克雄,池井戸潤,丑尾健太郎,4.0,0.0,9.20966688439,8.8177661659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.08817766166,11.5610711953,0.0,7.51143043762,0.0,0.0,12.60613977792,0.0
キャビン,ドリュー・ゴダード,,ジョス・ウェドン,3.3,0.0,11.60769708256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.35257603973,10.80074487896,12.78708876474,0.0,0.0,10.05586592179,0.0,0.0,0.0,0.0,7.13842333954
ハード・コア,山下敦弘,狩撫麻礼,向井康介,3.25,0.0,14.94252873563,0.0,0.0,14.36781609195,0.0,0.0,0.0,8.04597701149,0.0,0.0,0.0,0.0,0.0,0.0,9.77011494253,7.47126436782,0.0,0.0,9.19540229885
インターステラー,クリストファー・ノーラン,,ジョナサン・ノーラン,4.22,11.14369501466,0.0,0.0,0.0,0.0,12.51666222341,0.0,0.0,9.06424953346,0.0,0.0,0.0,9.89069581445,10.01066382298,0.0,8.29112236737,0.0,0.0,0.0,0.0
劇場版シティーハンター 〈新宿プライベート・アイズ〉,,北条司,加藤陽一,4.36,0.0,14.91461100569,16.28083491461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55218216319,0.0,0.0,0.0,7.17267552182,0.0,17.7229601518,11.08159392789
MIST,三枝健起,芥川龍之介,,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181818182,0.0,0.0,9.09090909091,0.0,0.0,0.0,27.27272727273,36.36363636364,0.0,0.0,0.0
駅までの道をおしえて,橋本直樹,伊集院静,,3.53,21.42857142857,7.14285714286,0.0,7.14285714286,10.71428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85714285714,0.0,20.2380952381,0.0,0.0
きみに読む物語,ニック・カサヴェテス,ニコラス・スパークス,ジャン・サルディ,4.11,24.06692406692,0.0,3.4749034749,7.03560703561,0.0,0.0,0.0,25.01072501073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.72072072072,0.0,7.55040755041,0.0,0.0
追憶,降旗康男,,青島武,3.58,23.47949080622,0.0,0.0,19.66053748232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.828854314,4.8090523338,35.21923620934,0.0,0.0,3.6775106082,0.0
容疑者Xの献身,西谷弘,東野圭吾,福田靖,4.2,19.69674446261,0.0,0.0,15.96551211536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.99524305039,4.35558198305,24.14151925078,0.0,0.0,6.273227293,0.0
ハミングバード,スティーヴン・ナイト,,スティーヴン・ナイト,3.12,0.0,0.0,0.0,12.93103448276,0.0,0.0,0.0,6.89655172414,0.0,0.0,0.0,0.0,11.20689655172,0.0,6.03448275862,24.56896551724,0.0,0.0,18.10344827586,0.0
人魚の眠る家,堤幸彦,東野圭吾,篠崎絵里子,3.87,23.92966360856,0.0,0.0,19.57186544343,0.0,0.0,0.0,0.0,0.0,0.0,8.40978593272,5.88685015291,0.0,0.0,7.56880733945,20.71865443425,0.0,0.0,0.0,0.0
悪の法則,リドリー・スコット,,コーマック・マッカーシー,2.92,0.0,0.0,0.0,5.49558390579,0.0,0.0,0.0,0.0,0.0,0.0,13.64082433759,17.86064769382,0.0,6.47693817468,23.35623159961,0.0,9.81354268891,0.0,0.0,0.0
マスカレード・ホテル,鈴木雅之,東野圭吾,岡田道尚,3.96,0.0,7.77896995708,16.04077253219,0.0,0.0,0.0,14.4313304721,0.0,0.0,0.0,0.0,0.0,0.0,8.31545064378,0.0,0.0,0.0,0.0,15.23605150215,5.68669527897
マイ・インターン,ナンシー・マイヤーズ,,ナンシー・マイヤーズ,4.12,9.15287244401,14.76793248945,18.50048685492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.20382992535,10.87309315157,9.5423563778
貞子,中田秀夫,鈴木光司,杉原憲明,2.1,0.0,9.90712074303,0.0,7.12074303406,0.0,0.0,0.0,0.0,0.0,0.0,18.26625386997,17.64705882353,0.0,0.0,8.97832817337,0.0,0.0,8.04953560372,0.0,0.0
サニー／32,白石和彌,,高橋泉,2.48,0.0,7.96460176991,0.0,0.0,0.0,0.0,0.0,0.0,6.19469026549,7.96460176991,20.35398230088,12.38938053097,0.0,0.0,20.35398230088,0.0,0.0,0.0,0.0,0.0
宮本から君へ,真利子哲也,新井英樹,真利子哲也,3.73,12.96928327645,11.26279863481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.96928327645,0.0,6.1433447099,9.55631399317,0.0,0.0,10.92150170648,0.0
ターミネーター,ジェームズ・キャメロン,,ジェームズ・キャメロン,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.48620961387,8.98345153664,13.47517730496,13.00236406619,0.0,7.72261623325,0.0,0.0,0.0,10.7171000788,0.0
LIFE！/ライフ,ベン・スティラー,ジェームズ・サーバー,スティーヴ・コンラッド,3.82,0.0,12.43922204214,15.59967585089,0.0,8.63047001621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.08914100486,0.0,0.0,0.0,0.0,0.0,9.64343598055,8.50891410049
スイス・アーミー・マン,ダニエル・シュナイナート,,ダニエル・シュナイナート,3.25,0.0,16.66666666667,7.30593607306,0.0,9.81735159817,0.0,0.0,0.0,11.87214611872,0.0,0.0,0.0,0.0,0.0,0.0,9.36073059361,0.0,0.0,0.0,9.81735159817
ウインド・リバー,テイラー・シェリダン,,テイラー・シェリダン,3.96,0.0,0.0,0.0,15.73770491803,0.0,0.0,0.0,0.0,0.0,0.0,7.86885245902,10.65573770492,11.96721311475,0.0,11.96721311475,16.39344262295,0.0,0.0,0.0,0.0
レ・ミゼラブル,トム・フーパー,ヴィクトル・ユゴー,ウィリアム・ニコルソン,4.15,18.02640722724,0.0,0.0,10.92425295344,0.0,6.0319666435,0.0,7.57470465601,0.0,0.0,0.0,0.0,10.84086170952,0.0,0.0,14.25990271022,0.0,0.0,0.0,0.0
ファースト・マン,デイミアン・チャゼル,ジェイムズ・R・ハンセン,ジョシュ・シンガー,3.81,8.19348469891,0.0,0.0,0.0,0.0,12.53701875617,0.0,0.0,0.0,0.0,0.0,7.79861796644,17.47285291214,9.97038499506,0.0,11.25370187562,0.0,0.0,0.0,0.0
解放区,太田信吾,,太田信吾,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
すみっコぐらし とびだす絵本とひみつのコ,まんきゅう,サンエックス,角田貴志,4.77,19.91341991342,14.71861471861,14.28571428571,0.0,8.22510822511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22510822511,0.0,19.04761904762,0.0,0.0
ダークナイト ライジング,クリストファー・ノーラン,,ジョナサン・ノーラン,4.12,5.96288956945,0.0,0.0,0.0,0.0,9.78202125743,0.0,0.0,0.0,0.0,0.0,0.0,12.79048820032,0.0,7.45811565484,6.05296343001,0.0,0.0,14.05152224824,0.0
僕のワンダフル・ライフ,ラッセ・ハルストレム,W・ブルース・キャメロン,W・ブルース・キャメロン,4.22,18.76899696049,10.37234042553,12.12006079027,0.0,9.23252279635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.10638297872,0.0,16.41337386018,0.0,0.0
レオン,リュック・ベッソン,,リュック・ベッソン,4.47,14.4422310757,0.0,0.0,11.80278884462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96812749004,0.0,0.0,17.48007968127,0.0,7.22111553785,13.64541832669,0.0
